Organism	Is Reference Strain	Species	Species NCBI taxon ID	Strain	Strain NCBI taxon ID	Chromosomes	Supercontigs	Contigs	Genome Source	Genome Version/Assembly ID	Structural Annotation Source	Structural Annotation Version	EC#	Genes	GO terms	Non Protein coding genes	Orthologs	Protein coding genes	Pseudogenes
Homo sapiens REF	yes	Homo sapiens	9606	REF	N/A	24	169	0	Ensembl	GCA_000001405.28	Ensembl	GRCh38.p13	1263	60675	19653	40245	19973	20430	13990
Haemoproteus tartakovskyi strain SISKIN1	yes	Haemoproteus tartakovskyi	707206	strain SISKIN1	N/A	0	2982	0	INSDC	GCA_001625125.1	ValkiunasLab	Mar 01, 2022	1	5425	1672	565	4860	4860	510
Hamiltosporidium tvaerminnensis FI-OER-3-3	yes	Hamiltosporidium tvaerminnensis	1176355	FI-OER-3-3	N/A	0	2915	0	INSDC	GCA_004325045.1	GenBank	Mar 05, 2019	241	4121	1975	0	4121	4121	0
Hamiltosporidium tvaerminnensis IL-G-3	no	Hamiltosporidium tvaerminnensis	1176355	IL-G-3	N/A	0	2738	0	INSDC	GCA_004325075.1	GenBank	Mar 05, 2019	309	6203	2800	0	6203	6203	0
Hanseniaspora uvarum strain AWRI3580	yes	Hanseniaspora uvarum	29833	strain AWRI3580	N/A	0	18	0	INSDC	GCA_001747055.1	GenBank	Sep 27, 2016	653	4061	3027	0	4061	4061	0
Hemileia vastatrix Race XXXIII	yes	Hemileia vastatrix	203904	Race XXXIII	N/A	0	116756	0	INSDC	GCA_004125335.1	CaixetaLab	Feb 14, 2022	2	12854	6481	284	12570	12570	0
Ixodes persulcatus Iper-2018	yes	Ixodes persulcatus	34615	Iper-2018	N/A	0	11596	0	INSDC	GCA_013358835.2	GenBank	Dec 22, 2020	N/A	28510	11555	114	28396	28396	114
Ixodes ricinus Charles River	yes	Ixodes ricinus	34613	Charles River	N/A	0	204516	0	INSDC	GCA_000973045.2	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Ixodes scapularis ISE6	no	Ixodes scapularis	6945	ISE6	N/A	0	6476	0	INSDC	GCA_002892825.2	VectorBase	IscaI1.0	1355	23470	12117	4408	19062	19062	0
Ixodes scapularis PalLabHiFi	yes	Ixodes scapularis	6945	PalLabHiFi	N/A	0	648	0	INSDC	GCF_016920785.2	GenBank	Jul 07, 2021	871	38656	14694	11997	26659	26659	6237
Ixodes scapularis Wikel	no	Ixodes scapularis	6945	Wikel	N/A	0	369492	0	INSDC	GCA_000208615.1	VectorBase	IscaW1.7	1496	23342	12972	2854	20488	20488	0
Leishmania amazonensis MHOM/BR/71973/M2269	yes	Leishmania amazonensis	5659	MHOM/BR/71973/M2269	N/A	0	2627	0	GenBank	GCA_000438535.1	HertzFowlerLab	Dec 6, 2018	27	8127	4640	433	7694	7694	337
Leishmania amazonensis strain PH8	no	Leishmania amazonensis	5659	strain PH8	N/A	34	42	0	INSDC	GCA_025688915.1	GenBank	Oct 14, 2022	8	8803	3836	322	8481	8481	184
Leishmania arabica strain LEM1108	yes	Leishmania arabica	40284	strain LEM1108	N/A	36	132	0	GenBank	GCA_000410695.2	GeneDB	Dec 16, 2014	52	8755	3989	109	8646	8646	0
Leishmania braziliensis MHOM/BR/75/M2904 2019	no	Leishmania braziliensis	5660	MHOM/BR/75/M2904 2019	N/A	35	0	15	Sanger	Jul 30, 2019	Sanger	Jul 30, 2019	N/A	8599	3121	115	7511	8484	973
Leptotrombidium deliense UoL-UT	yes	Leptotrombidium deliense	299467	UoL-UT	N/A	0	66710	0	INSDC	GCA_003675905.1	VectorBase	LdelU1.1	956	15015	11343	348	14667	14667	0
Leishmania donovani strain BHU 1220	no	Leishmania donovani	5661	strain BHU 1220	N/A	36	0	0	GenBank	GCA_000470725.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Leishmania donovani CL-SL	no	Leishmania donovani	5661	CL-SL	N/A	36	0	0	GenBank	GCA_003719575.1	GenBank	Nov 09, 2018	1149	9757	5190	1125	8632	8632	0
Leishmania donovani HU3	no	Leishmania donovani	5661	HU3	N/A	36	0	0	INSDC	GCA_900635355.2	N/A	N/A	734	8594	5033	190	8404	8404	47
Leishmania donovani strain LV9	no	Leishmania donovani	5661	strain LV9	N/A	36	0	108	Sanger	Feb 27, 2019	Sanger	Feb 27, 2019	N/A	8387	3106	142	7413	8245	832
Leishmania enriettii strain LEM3045	yes	Leishmania enriettii	5663	strain LEM3045	N/A	36	459	0	GenBank	GCA_000410755.2	GeneDB	Dec 16, 2014	61	8831	3994	100	8731	8731	0
Leishmania enriettii MCAV/BR/2001/CUR178	no	Leishmania enriettii	5663	MCAV/BR/2001/CUR178	N/A	36	18	0	INSDC	GCA_017916305.1	GenBank	Apr 15, 2021	10	8353	18	0	8353	8353	0
Leishmania gerbilli strain LEM452	yes	Leishmania gerbilli	40285	strain LEM452	N/A	36	106	0	GenBank	GCA_000443025.1	GeneDB	Dec 16, 2014	46	8700	4019	101	8599	8599	0
Lutzomyia longipalpis Jacobina	no	Lutzomyia longipalpis	7200	Jacobina	N/A	0	11532	0	INSDC	GCA_000265325.1	VectorBase	LlonJ1.6	683	10765	7499	338	10426	10427	0
Lutzomyia longipalpis M1	yes	Lutzomyia longipalpis	7200	M1	N/A	4	0	0	INSDC	GCF_024334085.1	GenBank	May 06, 2023	19	12045	7849	807	11238	11238	29
Leishmania major Friedlin 2021	no	Leishmania major	5664	Friedlin 2021	N/A	36	0	0	INSDC	GCA_916722125.1	GenBank	Oct 03, 2021	40	11242	4057	2734	8508	8508	91
Leishmania martiniquensis LEM2494	yes	Leishmania martiniquensis	1580590	LEM2494	N/A	36	215	0	GenBank	GCA_000409445.2	GeneDB	Dec 16, 2014	41	8581	3998	98	8483	8483	0
Leishmania martiniquensis MHOM/TH/2012/LSCM1	no	Leishmania martiniquensis	1580590	MHOM/TH/2012/LSCM1	N/A	36	6	0	INSDC	GCA_017916325.1	GenBank	Jun 02, 2021	2	7967	8	0	7967	7967	0
Leishmania orientalis MHOM/TH/2014/LSCM4	yes	Leishmania orientalis	2249476	MHOM/TH/2014/LSCM4	N/A	36	62	0	INSDC	GCA_017916335.1	GenBank	Apr 15, 2021	1	8158	23	0	8158	8158	0
Leishmania panamensis strain MHOM/PA/94/PSC-1	no	Leishmania panamensis	5679	strain MHOM/PA/94/PSC-1	N/A	35	0	0	GenBank	GCA_000755165.1	GenBank	Mar 05, 2015	1234	8048	4629	337	7711	7711	185
Lomentospora prolificans JHH-5317	yes	Lomentospora prolificans	41688	JHH-5317	N/A	0	0	1624	GenBank	GCA_002276285.1	GenBank	Dec 19, 2017	1266	8768	6373	208	8560	8560	0
Leptomonas pyrrhocoris H10	yes	Leptomonas pyrrhocoris	157538	H10	N/A	35	25	0	GenBank	GCA_001293395.1	LukesLab	May 05, 2015	5	10148	5819	270	9878	9878	0
Lichtheimia ramosa KPH11	yes	Lichtheimia ramosa	688394	KPH11	N/A	10	0	0	INSDC	GCA_008728235.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Leptomonas seymouri ATCC 30220	yes	Leptomonas seymouri	5684	ATCC 30220	N/A	0	0	1222	GenBank	GCA_001299535.1	YurchenkoLab	May 06, 2015	1	8595	4814	107	8488	8488	0
Leishmania sp. Ghana MHOM/GH/2012/GH5	yes	Leishmania sp. Ghana	2803181	MHOM/GH/2012/GH5	N/A	36	80	0	INSDC	GCA_017918215.1	GenBank	Apr 15, 2021	N/A	8119	23	0	8119	8119	0
Leishmania sp. Namibia MPRO/NA/1975/252/LV425	yes	Leishmania sp. Namibia	2802991	MPRO/NA/1975/252/LV425	N/A	36	31	0	INSDC	GCA_017918225.1	GenBank	Apr 15, 2021	N/A	8266	20	0	8266	8266	0
Leishmania tarentolae Parrot-TarII	yes	Leishmania tarentolae	5689	Parrot-TarII	N/A	36	4	1311	CorbeilLab	Jun 22, 2011	CorbeilLab	Jun 22, 2011	N/A	8530	3337	78	8452	8452	0
Leishmania tarentolae Parrot Tar II 2019	no	Leishmania tarentolae	5689	Parrot Tar II 2019	N/A	0	179	0	INSDC	GCA_009731335.1	N/A	N/A	531	8703	5048	0	8703	8703	0
Leishmania turanica strain LEM423	yes	Leishmania turanica	62297	strain LEM423	N/A	36	183	0	GenBank	GCA_000441995.1	GeneDB	Dec 16, 2014	42	8717	3997	109	8608	8608	0
Mitosporidium daphniae UGP3	yes	Mitosporidium daphniae	1485682	UGP3	N/A	0	610	0	GenBank	GCA_000760515.2	GenBank	Sep 30, 2014	337	3330	2231	0	3330	3330	0
Musca domestica aabys	yes	Musca domestica	7370	aabys	N/A	0	20487	0	INSDC	GCA_000371365.1	VectorBase	MdomA1.4	1200	16135	10390	1733	14402	14402	126
Musca domestica aabys 2023	no	Musca domestica	7370	aabys 2023	N/A	0	339	0	INSDC	GCF_030504385.1	RefSeq	Aug 24, 2023	13	21281	11694	3800	17481	17481	525
Monocercomonoides exilis PA203	yes	Monocercomonoides exilis	2049356	PA203	N/A	0	101	0	GenBank	GCA_001643675.2	GenBank	Nov 22, 2021	12	18152	6098	0	18152	18152	0
Macaca fascicularis REF	yes	Macaca fascicularis	9541	REF	N/A	21	7579	0	INSDC	GCF_000364345.1	GenBank	Jun 12, 2013	1547	29324	18564	7740	21404	21584	302
Monilinia fructicola CPMC6	yes	Monilinia fructicola	38448	CPMC6	N/A	0	99	0	INSDC	GCA_016906325.1	GenBank	Feb 18, 2021	6	10085	5872	0	10085	10085	0
Macaca mulatta isolate AG07107	yes	Macaca mulatta	9544	isolate AG07107	N/A	22	2916	0	INSDC	GCA_003339765.3	GenBank	2019-02-13	1301	35432	18004	13671	21591	21761	767
Mus musculus C57BL6J	yes	Mus musculus	10090	C57BL6J	N/A	21	44	0	Ensembl	GCA_000001635.8	Ensembl	GRCm38.p6	1260	55487	21887	32968	21936	22519	13220
Madurella mycetomatis mm55	yes	Madurella mycetomatis	100816	mm55	N/A	0	804	0	INSDC	GCA_001275765.2	GenBank	Mar 09, 2016	28	10707	7427	0	10707	10707	0
Myotis myotis mMyoMyo1	yes	Myotis myotis	51298	mMyoMyo1	N/A	0	92	0	INSDC	GCF_014108235.1	RefSeq	Sep 30, 2020	N/A	30786	16949	10554	20157	20232	5403
Malassezia pachydermatis CBS 1879	yes	Malassezia pachydermatis	77020	CBS 1879	N/A	0	91	0	INSDC	GCA_001278385.1	GenBank	Sep 02, 2015	607	4202	3452	0	4202	4202	0
Malassezia restricta KCTC 27527	yes	Malassezia restricta	76775	KCTC 27527	N/A	9	0	0	GenBank	GCA_003290485.1	GenBank	Jul 09, 2018	448	4544	3013	138	4406	4406	0
Naganishia albida JCM2334	no	Naganishia albida	100951	JCM2334	N/A	0	0	74	GenBank	GCA_001599735.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Naganishia albida NRRL Y-1402	yes	Naganishia albida	100951	NRRL Y-1402	N/A	0	0	834	GenBank	GCA_001444555.1	GenBank	Jul 26, 2016	N/A	N/A	N/A	0	N/A	0	0
Nematocida ausubeli ERTm2	yes	Nematocida ausubeli	1913371	ERTm2	N/A	0	202	0	GenBank	GCA_000250695.1	GenBank	Mar 18, 2015	108	2831	1030	61	2770	2770	0
Nematocida ausubeli ERTm6	no	Nematocida ausubeli	1913371	ERTm6	N/A	0	22	0	GenBank	GCA_000738915.1	GenBank	Aug 11, 2014	107	2493	1034	60	2433	2433	0
Neospora caninum Liverpool 2019	no	Neospora caninum	29176	Liverpool 2019	N/A	13	0	31	INSDC	GCA_016097395.1	FranciaLab	May 18, 2021	2	7798	3522	434	7364	7364	258
Nosema ceranae BRL	no	Nosema ceranae	40302	BRL	N/A	0	110	0	INSDC	GCA_004919615.1	GenBank	Jun 10, 2020	3	2294	1380	6	2288	2288	6
Nosema ceranae strain PA08_1199	no	Nosema ceranae	40302	strain PA08_1199	N/A	0	0	536	GenBank	GCA_000988165.1	GenBank	May 5, 2015	229	3265	1565	56	3209	3209	19
Nematocida displodere strain JUm2807	yes	Nematocida displodere	1805483	strain JUm2807	N/A	0	0	40	GenBank	GCA_001642395.1	GenBank	May 11, 2016	224	2278	1418	0	2278	2278	0
Naegleria fowleri ATCC 30863	no	Naegleria fowleri	5763	ATCC 30863	N/A	0	1124	0	GenBank	GCA_000499105.1	Wittwer	Nov 05, 2014	568	13252	6056	17	13235	13235	17
Naegleria fowleri strain ATCC 30894	no	Naegleria fowleri	5763	strain ATCC 30894	N/A	0	81	0	INSDC	GCA_008403515.1	INSDC	Jan 15, 2020	1008	13788	6657	23	13765	13765	23
Naegleria fowleri strain Ty	yes	Naegleria fowleri	5763	strain Ty	N/A	37	0	0	INSDC	GCA_014843625.1	AliLab	Sep 21, 2021	9	9405	5845	11	9394	9394	11
Nakaseomyces glabratus BG2	no	Nakaseomyces glabratus	5478	BG2	N/A	13	0	0	INSDC	GCA_014217725.1	GenBank	Aug 17, 2020	3	5481	4172	261	5220	5220	14
Nakaseomyces glabratus BG3993	no	Nakaseomyces glabratus	5478	BG3993	N/A	13	0	0	INSDC	GCA_020450195.1	GenBank	Oct 13, 2021	N/A	5487	3953	254	5233	5233	19
Nakaseomyces glabratus CBS138 2020	no	Nakaseomyces glabratus	5478	CBS138 2020	N/A	13	0	0	INSDC	GCA_010111755.1	GenBank	Jul 07, 2020	3	5508	4037	250	5258	5258	11
Nakaseomyces glabratus DSY562	no	Nakaseomyces glabratus	5478	DSY562	N/A	13	5	0	INSDC	GCA_002219185.1	GenBank	Jul 14, 2017	2	5543	4008	253	5290	5290	0
Nosema granulosis Ou3-Ou53	yes	Nosema granulosis	83296	Ou3-Ou53	N/A	0	1754	0	INSDC	GCA_015832245.1	GenBank	Dec 08, 2020	N/A	3639	1442	0	3639	3639	0
Naegleria lovaniensis strain ATCC 30569	yes	Naegleria lovaniensis	51637	strain ATCC 30569	N/A	0	109	0	INSDC	GCA_003324165.2	GenBank	Feb 04, 2021	N/A	14764	7183	0	14764	14764	0
Naegleria lovaniensis NL_76_15_250	no	Naegleria lovaniensis	51637	NL_76_15_250	N/A	0	199	0	INSDC	GCA_022530875.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Nematocida major JUm2507	yes	Nematocida major	1912982	JUm2507	N/A	0	111	0	INSDC	GCA_021653875.1	GenBank	Jan 27, 2022	N/A	2417	1038	0	2417	2417	0
Ordospora colligata FI-SK-17-1	no	Ordospora colligata	174685	FI-SK-17-1	N/A	0	26	0	INSDC	GCA_004325055.1	GenBank	Mar 05, 2019	N/A	1849	1048	49	1800	1800	0
Ordospora colligata GB-EP-1	no	Ordospora colligata	174685	GB-EP-1	N/A	0	18	0	INSDC	GCA_004324935.1	GenBank	Mar 05, 2019	N/A	1857	1049	49	1808	1808	0
Ordospora colligata NO-V-7	no	Ordospora colligata	174685	NO-V-7	N/A	0	21	0	INSDC	GCA_004324945.1	GenBank	Mar 05, 2019	N/A	1862	1049	49	1813	1813	0
Plasmodium adleri G01	yes	Plasmodium adleri	880535	G01	N/A	14	0	68	GenBank	GCA_900097015.1	Sanger	Nov 29, 2017	480	5566	3620	241	5325	5325	89
Podosphaera aphanis DRCT72020	yes	Podosphaera aphanis	79252	DRCT72020	N/A	0	12702	0	INSDC	GCA_022627015.2	GenBank	Mar 18, 2022	N/A	17469	7075	31	17438	17438	31
Phlebotomus argentipes India	yes	Phlebotomus argentipes	94469	India	N/A	0	64	0	INSDC	GCF_947086385.1	GenBank	Sep 28, 2023	N/A	10843	7245	303	10540	10540	8
Phialophora attinorum CBS 131958	yes	Phialophora attinorum	1664694	CBS 131958	N/A	0	131	0	INSDC	GCF_001299255.1	RefSeq	Aug 28, 2017	23	11848	7844	0	11848	11848	0
Plasmodium billcollinsi G01	yes	Plasmodium billcollinsi	720590	G01	N/A	14	0	0	GenBank	GCA_900257145.2	GenBank	Jun 10, 2020	349	5199	3475	229	4970	4970	100
Plasmodium blacklocki G01	yes	Plasmodium blacklocki	880536	G01	N/A	14	0	83	GenBank	GCA_900097035.1	Sanger	Nov 29, 2017	470	5382	3507	282	5100	5100	131
Plasmodium brasilianum strain Bolivian I	yes	Plasmodium brasilianum	5824	strain Bolivian I	N/A	14	29	0	INSDC	GCA_023973825.1	GenBank	Jun 29, 2022	1	5911	2264	144	5767	5767	144
Phytophthora cactorum 10300	yes	Phytophthora cactorum	29920	10300	N/A	0	4623	0	INSDC	GCA_003287315.1	GenBank	Jul 03, 2018	14	23884	11307	15	23869	23869	15
Pneumocystis canis CanA	yes	Pneumocystis canis	2698477	CanA	N/A	0	33	0	INSDC	GCA_017788925.1	GenBank	Apr 05, 2021	N/A	3113	2317	38	3075	3075	0
Phytophthora cinnamomi GKB4	yes	Phytophthora cinnamomi	4785	GKB4	N/A	0	133	0	INSDC	GCA_018691715.1	GenBank	Jun 03, 2021	N/A	19981	9504	0	19981	19981	0
Plasmodium coatneyi Hackeri	yes	Plasmodium coatneyi	208452	Hackeri	N/A	14	0	0	GenBank	GCA_001680005.1	GenBank	Sep 16, 2016	487	5575	3435	59	5516	5516	0
Podospora comata strain T mat+	yes	Podospora comata	48703	strain T mat+	N/A	7	0	0	INSDC	GCA_900290415.1	GenBank	Oct 22, 2018	998	13100	7103	2652	10448	10448	2178
Paratrypanosoma confusum CUL13	yes	Paratrypanosoma confusum	1470209	CUL13	N/A	0	266	1922	GenBank	GCA_002921335.1	FlegontovLab	Mar 02, 2018	51	8659	3745	0	8659	8659	0
Peronospora effusa R13	yes	Peronospora effusa	542832	R13	N/A	0	784	0	INSDC	GCA_003843895.1	GenBank	2018-11-27	692	8603	5447	0	8603	8603	0
Penicillium expansum d1	yes	Penicillium expansum	27334	d1	N/A	0	270	0	INSDC	GCA_000769735.1	GenBank	Oct 28, 2014	N/A	11023	7676	0	11023	11023	0
Plasmodium falciparum 7G8 2019	no	Plasmodium falciparum	5833	7G8 2019	N/A	0	20	0	INSDC	GCA_009761555.1	N/A	N/A	60	5482	2528	356	5126	5126	251
Plasmodium falciparum CD01	no	Plasmodium falciparum	5833	CD01	N/A	14	0	5	GenBank	GCA_900617135.1	Sanger	Apr 20, 2018	1054	5483	2455	325	5158	5158	228
Plasmodium falciparum GA01	no	Plasmodium falciparum	5833	GA01	N/A	14	0	4	GenBank	GCA_900632005.1	Sanger	Apr 20, 2018	1069	5551	2498	327	5224	5224	163
Plasmodium falciparum GB4	no	Plasmodium falciparum	5833	GB4	N/A	14	0	10	GenBank	GCA_900632035.1	Sanger	Apr 20, 2018	1077	5637	2528	302	5335	5335	138
Plasmodium falciparum GN01	no	Plasmodium falciparum	5833	GN01	N/A	14	0	3	GenBank	GCA_900631995.1	Sanger	Apr 20, 2018	1068	5600	2524	302	5298	5298	169
Plasmodium falciparum IT	no	Plasmodium falciparum	5833	IT	N/A	14	0	11	GenBank	GCA_900632055.1	Sanger	Apr 20, 2018	1074	5577	2525	327	5250	5250	133
Plasmodium falciparum KE01	no	Plasmodium falciparum	5833	KE01	N/A	14	0	5	GenBank	GCA_900631975.1	Sanger	Apr 20, 2018	1078	5479	2517	245	5234	5234	97
Plasmodium falciparum KH01	no	Plasmodium falciparum	5833	KH01	N/A	14	0	6	GenBank	GCA_900632025.1	Sanger	Apr 20, 2018	1064	5570	2489	306	5264	5264	169
Plasmodium falciparum KH02	no	Plasmodium falciparum	5833	KH02	N/A	14	0	5	GenBank	GCA_900632015.1	Sanger	Apr 20, 2018	1075	5554	2519	286	5268	5268	118
Plasmodium falciparum ML01	no	Plasmodium falciparum	5833	ML01	N/A	14	0	101	GenBank	GCA_900632085.1	Sanger	Apr 20, 2018	1013	6067	2402	785	5282	5282	629
Plasmodium falciparum NF135.C10	no	Plasmodium falciparum	5833	NF135.C10	N/A	0	21	0	INSDC	GCA_009761425.1	N/A	N/A	59	5615	2454	587	5028	5028	462
Plasmodium falciparum NF166	no	Plasmodium falciparum	5833	NF166	N/A	0	30	0	INSDC	GCA_009761515.1	N/A	N/A	60	5584	2519	431	5153	5153	313
Plasmodium falciparum SD01	no	Plasmodium falciparum	5833	SD01	N/A	13	0	4	GenBank	GCA_900632095.1	Sanger	Apr 20, 2018	1058	5444	2476	315	5129	5129	181
Plasmodium falciparum SN01	no	Plasmodium falciparum	5833	SN01	N/A	14	0	20	GenBank	GCA_900632075.1	Sanger	Apr 20, 2018	1081	5592	2545	241	5351	5351	103
Plasmodium falciparum TG01	no	Plasmodium falciparum	5833	TG01	N/A	14	0	63	GenBank	GCA_900632065.1	Sanger	Apr 20, 2018	1072	6060	2579	377	5683	5683	243
Plasmodium fragile strain nilgiri	yes	Plasmodium fragile	5857	strain nilgiri	N/A	0	247	0	GenBank	GCA_000956335.1	GenBank	Jul 26, 2016	487	5744	3454	72	5672	5672	15
Plasmodium gaboni strain G01	no	Plasmodium gaboni	647221	strain G01	N/A	14	0	82	GenBank	GCA_900097045.1	Sanger	Nov 29, 2017	473	5368	3408	234	5134	5134	88
Plasmodium gaboni strain SY75	yes	Plasmodium gaboni	647221	strain SY75	N/A	14	0	818	GenBank	GCA_001602025.1	GenBank	Jun 16, 2016	473	5431	3461	233	5198	5198	88
Plasmodium gallinaceum 8A	yes	Plasmodium gallinaceum	5849	8A	N/A	0	0	152	GenBank	GCA_900005855.1	GeneDB	Sep 01, 2020	842	5447	3779	161	5286	5286	29
Porcisia hertigi MCOE/PA/1965/C119	yes	Porcisia hertigi	2761500	MCOE/PA/1965/C119	N/A	36	38	0	INSDC	GCA_017918235.1	GenBank	Apr 15, 2021	N/A	7891	15	0	7891	7891	0
Pediculus humanus USDA	yes	Pediculus humanus	121225	USDA	N/A	0	1882	0	INSDC	GCA_000006295.1	VectorBase	PhumU2.5	716	11712	7934	927	10785	10785	0
Pythium insidiosum Pi-s	yes	Pythium insidiosum	114742	Pi-s	N/A	0	1192	0	INSDC	GCA_001029375.1	GenBank	Oct 03, 2017	1016	14850	9510	0	14850	14850	0
Plasmodium knowlesi strain A1H1	no	Plasmodium knowlesi	5850	strain A1H1	N/A	14	0	0	INSDC	GCA_900162085.1	ClarkLab	Mar 15, 2021	3	5465	3025	515	4950	4950	421
Plasmodium knowlesi strain Malayan Strain Pk1 A	no	Plasmodium knowlesi	5850	strain Malayan Strain Pk1 A	N/A	0	28	0	GenBank	GCA_002140095.1	GenBank	May 15, 2017	481	5343	3304	84	5259	5259	22
Pichia kudriavzevii strain CBS5147	no	Pichia kudriavzevii	4909	strain CBS5147	N/A	5	0	0	INSDC	GCA_003054405.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Pichia kudriavzevii strain CBS573	yes	Pichia kudriavzevii	4909	strain CBS573	N/A	5	0	0	INSDC	GCA_003054445.1	GenBank	May 31, 2019	715	5367	4134	212	5155	5155	0
Pneumocystis sp. macacae isolate P2C	yes	Pneumocystis sp. 'macacae'	2698480	P2C	N/A	16	3	0	INSDC	GCA_018127085.1	GenBank	Apr 23, 2021	N/A	3427	2310	37	3390	3390	0
Plasmodium malariae UG01	yes	Plasmodium malariae	5858	UG01	N/A	14	0	47	GenBank	GCA_900090045.1	GeneDB	Sep 01, 2020	832	6715	4432	773	5942	5942	637
Pseudoloma neurophilia strain MK1	yes	Pseudoloma neurophilia	146866	strain MK1	N/A	0	0	1603	GenBank	GCA_001432165.1	GenBank	Nov 05, 2015	283	3645	1775	0	3645	3645	0
Pyricularia oryzae BR32	no	Pyricularia oryzae	318829	BR32	N/A	0	111	0	GEMO	Nov 02, 2011	GEMO	Nov 02, 2011	821	14781	6645	432	14349	14349	0
Pneumocystis oryctolagi CS1	yes	Pneumocystis oryctolagi	42067	CS1	N/A	0	38	0	INSDC	GCA_017311285.1	GenBank	Mar 09, 2021	1	2856	2141	0	2856	2856	0
Plasmodium ovale curtisi GH01	yes	Plasmodium ovale	36330	curtisi GH01	N/A	14	0	638	GenBank	GCA_900090035.2	GeneDB	Sep 01, 2020	746	7311	3324	640	6671	6671	500
Plasmodium ovale wallikeri PowCR01	no	Plasmodium ovale	36330	wallikeri PowCR01	N/A	14	763	0	INSDC	GCA_900090025.2	GenBank	Jun 15, 2018	19	7047	3966	819	6228	6228	715
Phytophthora palmivora var. palmivora strain sbr112.9	yes	Phytophthora palmivora	4796	var. palmivora strain sbr112.9	N/A	0	0	24809	GenBank	GCA_002911725.1	GenBank	Feb 02, 2018	1616	28185	8972	3511	24674	24674	3511
Phlebotomus papatasi Israel	no	Phlebotomus papatasi	29031	Israel	N/A	0	106826	0	INSDC	GCA_000262795.1	VectorBase	PpapI1.6	687	11835	7967	444	11391	11391	0
Phlebotomus papatasi M1	yes	Phlebotomus papatasi	29031	M1	N/A	5	640	0	INSDC	GCF_024763615.1	GenBank	May 07, 2023	18	12663	7861	1053	11610	11610	58
Pyricularia pennisetigena Br36	yes	Pyricularia pennisetigena	1578925	Br36	N/A	5	103	0	INSDC	GCA_004337985.1	GenBank	Mar 19, 2019	1	11428	5737	0	11428	11428	0
Phytophthora plurivora AV1007	yes	Phytophthora plurivora	639000	AV1007	N/A	0	0	1897	GenBank	GCA_002247145.1	GenBank	Aug 11, 2017	N/A	N/A	N/A	0	N/A	0	0
Plasmodium praefalciparum strain G01	yes	Plasmodium praefalciparum	880534	strain G01	N/A	14	39	0	INSDC	GCA_900095595.1	GenBank	Mar 25, 2018	366	6202	4270	315	5887	5887	148
Phytophthora ramorum 14567	no	Phytophthora ramorum	164328	14567	N/A	0	27	0	INSDC	GCA_020800235.1	GenBank	Nov 08, 2021	8	15350	8403	0	15350	15350	0
Phytophthora ramorum strain Pr102	yes	Phytophthora ramorum	164328	strain Pr102	N/A	0	28	0	GenBank	GCA_020800215.1	GenBank	Nov 23, 2022	8	15268	8461	1	15267	15267	1
Plasmodium reichenowi CDC	yes	Plasmodium reichenowi	5854	CDC	N/A	14	0	356	GenBank	GCA_000723685.1	GeneDB	Sep 01, 2020	1060	5995	4279	357	5638	5638	141
Plasmodium reichenowi G01	no	Plasmodium reichenowi	5854	G01	N/A	14	0	34	GenBank	GCA_900097025.1	Sanger	Nov 29, 2017	597	5909	3990	265	5644	5644	97
Plasmodium relictum SGS1-like	yes	Plasmodium relictum	85471	SGS1-like	N/A	14	0	460	GenBank	GCA_900005765.1	GeneDB	Sep 01, 2020	891	5312	3741	168	5144	5144	40
Puccinia sorghi strain RO10H11247	yes	Puccinia sorghi	27349	strain RO10H11247	N/A	0	15715	0	INSDC	GCA_001263375.1	GenBank	Aug 19, 2015	755	21769	7991	691	21078	21078	157
Puccinia striiformis strain 93-210	yes	Puccinia striiformis	27350	strain 93-210	N/A	0	492	0	INSDC	GCA_002920065.1	GenBank	Feb 06, 2018	9	15090	6198	0	15090	15090	0
Puccinia striiformis 93TX-2	no	Puccinia striiformis	27350	93TX-2	N/A	0	561	0	INSDC	GCA_002920205.1	GenBank	2018-02-06	13	14629	5793	0	14629	14629	0
Paecilomyces variotii CBS 101075	yes	Paecilomyces variotii	264951	CBS 101075	N/A	0	86	0	INSDC	GCF_004022145.1	RefSeq	Apr 05, 2019	20	9415	6787	145	9270	9270	3
Plasmodium vinckei Cameroon EL	no	Plasmodium vinckei	5860	Cameroon EL	N/A	14	0	0	INSDC	GCA_903994265.1	GenBank	Aug 06, 2020	465	5386	3368	104	5282	5282	36
Plasmodium vinckei brucechwatti DA	no	Plasmodium vinckei	5860	brucechwatti DA	N/A	14	0	0	INSDC	GCA_903994205.1	GenBank	Aug 06, 2020	463	5332	3320	107	5225	5225	40
Plasmodium vinckei lentum DE	no	Plasmodium vinckei	5860	lentum DE	N/A	14	0	0	INSDC	GCA_903994225.1	GenBank	Aug 06, 2020	464	5351	3342	104	5247	5247	29
Plasmodium vinckei petteri strain CR	no	Plasmodium vinckei	5860	petteri strain CR	N/A	0	66	0	GenBank	GCA_000524515.1	GenBank	Jan 31, 2014	491	5213	2343	53	5160	5160	0
